Customer ID,DATE,PARTICULARS,INST_NO,WITHDRAW,DEPOSIT,BALANCE,TRAN_ID,INSTRMNT_TYPE,TRAN_TYPE,TRAN_SUB_TYPE,TRAN_RMKS,TRAN_RMKS2,DTH_INIT_SOL_ID,CONTA_ACCT_NO,CONTA_ACCT_NAME,CONTAR_ACCT_SOL,PROFESSION,TRAN_TIME
12345,1-Jan-24,SALARY CREDIT,,,"5,000.00","5,000.00",TXN001,,T,CR,MONTHLY SALARY,,0,,,,,09:00
12345,3-Jan-24,ATM WITHDRAWAL,,"200.00",,"4,800.00",TXN002,,T,DR,CASH WITHDRAWAL,,0,,,,,14:30
12345,5-Jan-24,ONLINE TRANSFER,,"500.00",,"4,300.00",TXN003,,T,DR,UTILITY BILL PAYMENT,,0,,,,,16:45
12345,10-Jan-24,MOBILE DEPOSIT,,,"1,000.00","5,300.00",TXN004,,T,CR,CHECK DEPOSIT,,0,,,,,10:15
12345,15-Jan-24,DEBIT CARD PURCHASE,,"85.50",,"5,214.50",TXN005,,T,DR,GROCERY STORE,,0,,,,,18:20
23456,2-Jan-24,BUSINESS RECEIPT,,,"15,000.00","15,000.00",TXN006,,T,CR,CUSTOMER PAYMENT,,0,,,,,11:00
23456,4-Jan-24,SUPPLIER PAYMENT,,"8,500.00",,"6,500.00",TXN007,,T,DR,INVENTORY PURCHASE,,0,,,,,13:45
23456,8-Jan-24,CREDIT CARD PAYMENT,,"1,200.00",,"5,300.00",TXN008,,T,DR,CC BILL PAYMENT,,0,,,,,15:30
23456,12-Jan-24,SALES DEPOSIT,,,"22,000.00","27,300.00",TXN009,,T,CR,DAILY SALES,,0,,,,,19:00
23456,18-Jan-24,RENT PAYMENT,,"3,500.00",,"23,800.00",TXN010,,T,DR,OFFICE RENT,,0,,,,,09:30
34567,1-Jan-24,DIRECT DEPOSIT,,,"7,500.00","7,500.00",TXN011,,T,CR,SALARY CREDIT,,0,,,,,08:00
34567,6-Jan-24,ONLINE SHOPPING,,"350.00",,"7,150.00",TXN012,,T,DR,E-COMMERCE PURCHASE,,0,,,,,20:15
34567,11-Jan-24,ATM DEPOSIT,,,"2,000.00","9,150.00",TXN013,,T,CR,CASH DEPOSIT,,0,,,,,12:00
34567,16-Jan-24,INSURANCE PREMIUM,,"450.00",,"8,700.00",TXN014,,T,DR,MONTHLY INSURANCE,,0,,,,,10:30
34567,20-Jan-24,FREELANCE PAYMENT,,,"3,200.00","11,900.00",TXN015,,T,CR,PROJECT PAYMENT,,0,,,,,14:45
45678,5-Jan-24,PARENTAL TRANSFER,,,"1,500.00","1,500.00",TXN016,,T,CR,FAMILY SUPPORT,,0,,,,,09:15
45678,7-Jan-24,TUITION FEE,,"800.00",,"700.00",TXN017,,T,DR,SEMESTER FEE,,0,,,,,11:00
45678,14-Jan-24,PART TIME JOB,,,"600.00","1,300.00",TXN018,,T,CR,WAGES,,0,,,,,17:30
45678,19-Jan-24,BOOK PURCHASE,,"125.00",,"1,175.00",TXN019,,T,DR,TEXTBOOKS,,0,,,,,13:20
45678,25-Jan-24,SCHOLARSHIP,,,"2,000.00","3,175.00",TXN020,,T,CR,ACADEMIC SCHOLARSHIP,,0,,,,,10:00
56789,2-Jan-24,BUSINESS REVENUE,,,"45,000.00","45,000.00",TXN021,,T,CR,MONTHLY SALES,,0,,,,,16:00
56789,5-Jan-24,RAW MATERIAL PURCHASE,,"18,000.00",,"27,000.00",TXN022,,T,DR,SUPPLIER PAYMENT,,0,,,,,10:45
56789,9-Jan-24,EMPLOYEE SALARY,,"12,000.00",,"15,000.00",TXN023,,T,DR,PAYROLL,,0,,,,,09:00
56789,14-Jan-24,EQUIPMENT PURCHASE,,"25,000.00",,"(10,000.00)",TXN024,,T,DR,MACHINERY,,0,,,,,14:30
56789,20-Jan-24,EXPORT PAYMENT,,,"60,000.00","50,000.00",TXN025,,T,CR,INTERNATIONAL SALE,,0,,,,,11:15
67890,3-Jan-24,SALARY CREDIT,,,"8,500.00","8,500.00",TXN026,,T,CR,MONTHLY SALARY,,0,,,,,08:30
67890,8-Jan-24,MEDICAL EXPENSE,,"1,200.00",,"7,300.00",TXN027,,T,DR,HOSPITAL PAYMENT,,0,,,,,15:00
67890,13-Jan-24,PROFESSIONAL FEE,,,"5,000.00","12,300.00",TXN028,,T,CR,CONSULTATION FEE,,0,,,,,12:30
67890,17-Jan-24,CONFERENCE REGISTRATION,,"850.00",,"11,450.00",TXN029,,T,DR,PROFESSIONAL DEV,,0,,,,,16:20
67890,22-Jan-24,INSURANCE REIMBURSEMENT,,,"1,800.00","13,250.00",TXN030,,T,CR,CLAIM SETTLEMENT,,0,,,,,10:45
78901,4-Jan-24,RESTAURANT INCOME,,,"28,000.00","28,000.00",TXN031,,T,CR,DAILY SALES,,0,,,,,21:00
78901,6-Jan-24,FOOD SUPPLIER,,"12,500.00",,"15,500.00",TXN032,,T,DR,GROCERY SUPPLIES,,0,,,,,07:30
78901,10-Jan-24,UTILITY BILLS,,"2,800.00",,"12,700.00",TXN033,,T,DR,ELECTRICITY WATER GAS,,0,,,,,14:00
78901,15-Jan-24,CATERING EVENT,,,"15,000.00","27,700.00",TXN034,,T,CR,SPECIAL EVENT,,0,,,,,19:30
78901,21-Jan-24,STAFF WAGES,,"8,000.00",,"19,700.00",TXN035,,T,DR,EMPLOYEE PAYMENT,,0,,,,,09:15
89012,6-Jan-24,RETAINER FEE,,,"6,000.00","6,000.00",TXN036,,T,CR,LEGAL SERVICES,,0,,,,,11:30
